experiment_date,group,users,conversions,conversion_rate
2017-01-02,control,2859,359,0.12556800246238708
2017-01-02,treatment,2853,342,0.1198740005493164
2017-01-03,control,6590,750,0.1138089969754219
2017-01-03,treatment,6618,753,0.11378099769353867
2017-01-04,control,6578,802,0.12192200124263763
2017-01-04,treatment,6541,763,0.11664900183677673
2017-01-05,control,6427,792,0.12323000282049179
2017-01-05,treatment,6505,748,0.11498799920082092
2017-01-06,control,6606,762,0.11535000056028366
2017-01-06,treatment,6747,833,0.1234619989991188
2017-01-07,control,6604,799,0.12098699808120728
2017-01-07,treatment,6609,768,0.11620499938726425
2017-01-08,control,6687,795,0.11888699978590012
2017-01-08,treatment,6700,809,0.12074600160121918
2017-01-09,control,6628,793,0.11964400112628937
2017-01-09,treatment,6615,781,0.1180649995803833
2017-01-10,control,6654,751,0.11286400258541107
2017-01-10,treatment,6696,846,0.1263439953327179
2017-01-11,control,6688,795,0.11886999756097794
2017-01-11,treatment,6673,768,0.1150910034775734
2017-01-12,control,6522,796,0.12204799801111221
2017-01-12,treatment,6637,812,0.1223440021276474
2017-01-13,control,6552,766,0.11691100150346756
2017-01-13,treatment,6508,724,0.11124800145626068
2017-01-14,control,6548,830,0.1267559975385666
2017-01-14,treatment,6599,787,0.11925999820232391
2017-01-15,control,6714,809,0.12049400061368942
2017-01-15,treatment,6549,743,0.1134520024061203
2017-01-16,control,6591,803,0.12183299660682678
2017-01-16,treatment,6545,780,0.1191750019788742
2017-01-17,control,6617,813,0.12286499887704849
2017-01-17,treatment,6538,832,0.12725600600242615
2017-01-18,control,6482,809,0.12480700016021729
2017-01-18,treatment,6603,824,0.12479200214147568
2017-01-19,control,6578,789,0.1199449971318245
2017-01-19,treatment,6552,768,0.11721599847078323
2017-01-20,control,6534,753,0.11524300277233124
2017-01-20,treatment,6679,786,0.11768200248479843
2017-01-21,control,6749,850,0.12594500184059143
2017-01-21,treatment,6560,759,0.11570099741220474
2017-01-22,control,6596,786,0.11916299909353256
2017-01-22,treatment,6669,787,0.11800900101661682
2017-01-23,control,6716,844,0.12567000091075897
2017-01-23,treatment,6633,803,0.12106099724769592
2017-01-24,control,3754,443,0.11800699681043625
2017-01-24,treatment,3681,448,0.12170600146055222
